127.0.0.1 - - [08/Jan/2012:11:03:36 +0200] "GET / HTTP/1.1" 200 44
127.0.0.1 - - [08/Jan/2012:11:03:38 +0200] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:07:39 +0200] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:07:43 +0200] "GET /test.pl HTTP/1.1" 200 105
127.0.0.1 - - [08/Jan/2012:11:07:45 +0200] "GET /test.pl HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:07:45 +0200] "GET /test.pl HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:10:41 +0200] "GET /test.pl HTTP/1.1" 200 119
127.0.0.1 - - [08/Jan/2012:11:10:42 +0200] "GET /test.pl HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:10:43 +0200] "GET /test.pl HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:10:49 +0200] "GET /test.pl HTTP/1.1" 304 -
127.0.0.1 - - [08/Jan/2012:11:11:04 +0200] "GET /printenv.pl HTTP/1.1" 404 209
127.0.0.1 - - [08/Jan/2012:11:11:14 +0200] "GET /cgi-bin/printenv.pl HTTP/1.1" 500 542
127.0.0.1 - - [08/Jan/2012:11:11:38 +0200] "GET /cgi-bin/printenv HTTP/1.1" 404 214
127.0.0.1 - - [08/Jan/2012:11:11:43 +0200] "GET /cgi-bin/test.pl HTTP/1.1" 200 39
127.0.0.1 - - [08/Jan/2012:11:12:08 +0200] "GET /cgi-bin/test.pl HTTP/1.1" 200 39
127.0.0.1 - - [08/Jan/2012:11:12:09 +0200] "GET /cgi-bin/test.pl HTTP/1.1" 200 39
127.0.0.1 - - [08/Jan/2012:11:12:10 +0200] "GET /cgi-bin/test.pl HTTP/1.1" 200 39
127.0.0.1 - - [08/Jan/2012:11:12:11 +0200] "GET /cgi-bin/test.pl HTTP/1.1" 200 39
127.0.0.1 - - [12/Jan/2012:14:20:24 +0200] "GET /WebTours/index.htm HTTP/1.1" 404 216
127.0.0.1 - - [12/Jan/2012:14:20:24 +0200] "GET /favicon.ico HTTP/1.1" 404 209
